Date,Open,High,Low,Close,Adj Close,Volume
2006-09-01,42.413342,43.029514,42.259296,42.721428,28.208664,2282793
2006-09-04,42.387669,42.387669,41.540428,41.797169,27.598383,3847364
2006-09-05,41.437733,41.643124,41.232342,41.335037,27.293234,2074660
2006-09-06,41.206665,41.283688,40.616165,40.795883,26.937237,2348782
2006-09-07,40.564819,40.693188,40.282406,40.436447,26.699903,1657011
2006-09-08,40.487797,40.539143,40.102688,40.410774,26.682949,1541976
2006-09-11,40.308079,40.487797,39.974316,40.308079,26.615145,1283032
2006-09-12,40.462124,40.821556,39.999992,40.770210,26.920277,2064658
2006-09-13,41.001274,41.052624,40.616165,40.924252,27.022001,1581993
2006-09-14,40.949928,41.001274,40.359425,40.693188,26.869427,1637403
2006-09-15,40.487797,40.898579,40.308079,40.693188,26.869427,3668607
2006-09-18,40.462124,40.924252,40.359425,40.667515,26.852476,1363004
2006-09-19,40.564819,40.641842,39.999992,40.256729,26.581230,2140186
2006-09-20,40.359425,40.949928,40.077011,40.847233,26.971140,1842678
2006-09-21,40.872906,41.206665,40.616165,40.872906,26.988092,1245516
2006-09-22,40.539143,40.667515,40.051338,40.256729,26.581230,1495637
2006-09-25,40.333752,41.129642,40.308079,40.641842,26.835527,1539724
2006-09-26,40.949928,41.463406,40.693188,41.258015,27.242378,2681053
2006-09-27,41.335037,41.540428,40.898579,41.232342,27.225431,1731931
2006-09-28,41.180992,41.514751,40.924252,41.206665,27.208475,1512132
2006-09-29,41.155319,41.514751,41.129642,41.309361,27.276278,999355
2006-10-02,41.437733,41.822842,41.309361,41.591774,27.462761,1446054
2006-10-03,41.129642,41.386383,40.821556,41.232342,27.225431,1497125
2006-10-04,41.155319,41.899860,41.155319,41.591774,27.462761,1736660
2006-10-05,41.668797,41.976883,41.489079,41.720146,27.547518,1369194
2006-10-06,41.540428,41.720146,41.103970,41.463406,27.377996,1424725
2006-10-09,41.103970,41.437733,41.001274,41.437733,27.361044,1306305
2006-10-10,41.591774,41.591774,41.155319,41.386383,27.327139,1046037
2006-10-11,41.129642,41.386383,40.770210,41.078297,27.123714,1825427
